Agentura,Datum,Hodnota,Průměr,Strana,size
Gms,2025-04-04,26.0,,CDU/CSU,6
Gms,2025-04-04,15.0,,SPD,6
Gms,2025-04-04,11.0,,Grüne,6
Gms,2025-04-04,4.0,,FDP,6
Gms,2025-04-04,10.0,,Linke,6
Gms,2025-04-04,25.0,,AfD,6
Gms,2025-04-04,4.0,,BSW,6
Insa,2025-04-05,24.5,,CDU/CSU,6
Insa,2025-04-05,16.0,,SPD,6
Insa,2025-04-05,10.5,,Grüne,6
Insa,2025-04-05,4.0,,FDP,6
Insa,2025-04-05,10.5,,Linke,6
Insa,2025-04-05,24.5,,AfD,6
Insa,2025-04-05,4.5,,BSW,6
Insa,2025-04-02,24.0,,CDU/CSU,6
Insa,2025-04-02,16.0,,SPD,6
Insa,2025-04-02,11.0,,Grüne,6
Insa,2025-04-02,4.0,,FDP,6
Insa,2025-04-02,11.0,,Linke,6
Insa,2025-04-02,24.0,,AfD,6
Insa,2025-04-02,4.0,,BSW,6
Dimap,2025-04-01,26.0,,CDU/CSU,6
Dimap,2025-04-01,16.0,,SPD,6
Dimap,2025-04-01,11.0,,Grüne,6
Dimap,2025-04-01,4.0,,FDP,6
Dimap,2025-04-01,10.0,,Linke,6
Dimap,2025-04-01,24.0,,AfD,6
Dimap,2025-04-01,4.0,,BSW,6
Forsa,2025-03-28,25.0,,CDU/CSU,6
Forsa,2025-03-28,15.0,,SPD,6
Forsa,2025-03-28,12.0,,Grüne,6
Forsa,2025-03-28,4.0,,FDP,6
Forsa,2025-03-28,10.0,,Linke,6
Forsa,2025-03-28,24.0,,AfD,6
Forsa,2025-03-28,4.0,,BSW,6
Insa,2025-03-29,26.5,,CDU/CSU,6
Insa,2025-03-29,15.5,,SPD,6
Insa,2025-03-29,12.0,,Grüne,6
Insa,2025-03-29,3.5,,FDP,6
Insa,2025-03-29,10.5,,Linke,6
Insa,2025-03-29,23.5,,AfD,6
Insa,2025-03-29,4.5,,BSW,6
Insa,2025-03-26,26.0,,CDU/CSU,6
Insa,2025-03-26,16.0,,SPD,6
Insa,2025-03-26,12.0,,Grüne,6
Insa,2025-03-26,3.0,,FDP,6
Insa,2025-03-26,10.0,,Linke,6
Insa,2025-03-26,23.0,,AfD,6
Insa,2025-03-26,5.0,,BSW,6
Emnid,2025-03-22,27.0,,CDU/CSU,6
Emnid,2025-03-22,15.0,,SPD,6
Emnid,2025-03-22,13.0,,Grüne,6
Emnid,2025-03-22,3.0,,FDP,6
Emnid,2025-03-22,10.0,,Linke,6
Emnid,2025-03-22,22.0,,AfD,6
Emnid,2025-03-22,4.0,,BSW,6
Forsa,2025-03-21,26.0,,CDU/CSU,6
Forsa,2025-03-21,15.0,,SPD,6
Forsa,2025-03-21,12.0,,Grüne,6
Forsa,2025-03-21,4.0,,FDP,6
Forsa,2025-03-21,10.0,,Linke,6
Forsa,2025-03-21,23.0,,AfD,6
Forsa,2025-03-21,4.0,,BSW,6
Insa,2025-03-22,27.0,,CDU/CSU,6
Insa,2025-03-22,14.5,,SPD,6
Insa,2025-03-22,12.0,,Grüne,6
Insa,2025-03-22,3.5,,FDP,6
Insa,2025-03-22,10.5,,Linke,6
Insa,2025-03-22,23.5,,AfD,6
Insa,2025-03-22,4.5,,BSW,6
Yougov,2025-03-22,26.0,,CDU/CSU,6
Yougov,2025-03-22,15.0,,SPD,6
Yougov,2025-03-22,12.0,,Grüne,6
Yougov,2025-03-22,3.0,,FDP,6
Yougov,2025-03-22,10.0,,Linke,6
Yougov,2025-03-22,24.0,,AfD,6
Yougov,2025-03-22,5.0,,BSW,6
Insa,2025-03-19,27.0,,CDU/CSU,6
Insa,2025-03-19,15.0,,SPD,6
Insa,2025-03-19,12.0,,Grüne,6
Insa,2025-03-19,3.0,,FDP,6
Insa,2025-03-19,10.0,,Linke,6
Insa,2025-03-19,23.0,,AfD,6
Insa,2025-03-19,5.0,,BSW,6
Forsa,2025-03-14,27.0,,CDU/CSU,6
Forsa,2025-03-14,14.0,,SPD,6
Forsa,2025-03-14,12.0,,Grüne,6
Forsa,2025-03-14,4.0,,FDP,6
Forsa,2025-03-14,11.0,,Linke,6
Forsa,2025-03-14,23.0,,AfD,6
Forsa,2025-03-14,3.0,,BSW,6
Insa,2025-03-15,29.0,,CDU/CSU,6
Insa,2025-03-15,15.5,,SPD,6
Insa,2025-03-15,11.0,,Grüne,6
Insa,2025-03-15,3.0,,FDP,6
Insa,2025-03-15,10.5,,Linke,6
Insa,2025-03-15,22.0,,AfD,6
Insa,2025-03-15,5.0,,BSW,6
Insa,2025-03-12,28.0,,CDU/CSU,6
Insa,2025-03-12,16.0,,SPD,6
Insa,2025-03-12,11.0,,Grüne,6
